id,quote,character,train
0,"Sure, do you have a camera here?",Pam,True
1,"Jim, what are you doing?",Dwight,True
2,"Oh, one hundred percent. We all want to see you tattoo your ass.",Jim,True
3,What is happening?,Jim,True
4,Cause you’re interested in going into sales?,Dwight,True
5,You’re ‘I need you to’ is my command.,Michael,True
6,Give it to me.,Michael,True
7,500.,Michael,True
8,"Let me handle this, Jim. Drop the act, Cordray, okay? We all know that you probably thought that Pam was too “meh” or thin without being toned. But I wanna tell you something-she is one of the plain hearty women of Scranton that make this city great. And so what if she doesn’t wear makeup? We like her better that way! And you steal clients, don’t you? Don’t you!",Dwight,True
9,"Feast on this, Lewis.",Dwight,True
10,"No, I didn’t. You misconstrued me.",Michael,True
11,I almost worked there.,Michael,True
12,Kelly!,Jim,True
13,"Hey, congratulations! Do you know what your prize is?",Dwight,True
14,You’ve been watering down the soap?,Pam,True
15,Thank you.,Pam,True
16,You know what the problem is?,Michael,True
17,No.,Jim,True
18,"Yeah, Happy Valentine’s Day.",Michael,True
19,Michael. Michael.,Jim,True
20,Yeah.,Jim,True
21,"Nice dress, Ryan.",Michael,True
22,I have a new place.,Michael,True
23,Pam and Karen. I am ordering you to cease and desist all party planning. Immediately.,Dwight,True
24,"See, I have your attention now, don’t I? You’re scared, but now you’re ready to learn.",Michael,True
25,"Welcome, welcome, welcome! Take me to your leader. Oh wait, I am your leader.",Michael,True
26,"Hey, what’s up?",Pam,True
27,What…,Michael,True
28,Is it?,Jim,True
29,Jethro Tull…,Dwight,True
30,"Sucker! See, I wanted somebody to take it. Boom! Reverse psychology.",Michael,True
31,Yes?,Michael,True
32,"Yes, and hear me, Dwight, when I say I brought you into this world, and I can take you out. Bill Cosby.",Michael,True
33,"Oh, okay, I get it. You feel out of the loop, and you feel sorry for yourself, and it’s really sad because everybody thinks you’re a loser…",Michael,True
34,We can do this.,Pam,True
35,"You didn’t poison me, it’s just stress.",Dwight,True
36,Stuff. I love stuff.,Michael,True
37,Race had nothing to do with it. I just knew they’d be good together.,Pam,True
38,Dwight Schrute is now wearing a baby’s bonnet.,Jim,True
39,"Oh, crap. Were those yours?",Jim,True
40,"Yes it is a thrill to be honored by one’s company. To have the people that you work for stop for a minute and say, ‘Wow. Great job.’ That is what it is all about. Not the perks. Perks? The perks. I could take or leave the perks. Limos are for people who make the company money not lose millions and have no plan. So we’re leaving early. After all, we are the only ones with anything to celebrate.",Michael,True
41,Don’t tell Michael…,Dwight,True
42,"Hello everyone! As you know, we are six days away from Phyllis’ wedding. So get your suits to the dry cleaner and get your hair did. And Karen, um, you might want to invest in a dress or a skirt of some kind if you don’t already have one. This may be Phyllis’ only wedding ever. It is my job to ensure that none of you look like ragamuffins. So I am instituting prima nocta.",Michael,True
43,"Oh, no, no. It’s on the Miata.",Dwight,True
44,"Apparently, there are allegations that Sabre printers can cause a fire. So they asked me to give a statement to the press. I’m like, what? All right. So I do it. It’s on TV last night. And it’s in the paper today. And it’s online. And then I call Froggy 98.7, the request line. I talk to the host about it on the air. It’s like, come on, people, enough.",Michael,True
45,"Ok, ok…",Michael,True
46,You mean on a weekend?,Jim,True
47,"Guess what, white and eggshell white are exactly the same color.",Michael,True
48,That’s it? Really? That’s nothing. All right. That’s highway robbery.,Michael,True
49,Your loss.,Michael,True
50,"I did, it was stupid. And Craig, you saw him, he’s not the sharpest tool in the shed. Although he is a tool.",Michael,True
51,"Someone’s looking out the window. Go go, Peel out, go.",Dwight,True
52,"Chair, lamp, plant, table leg, Jim’s leg.",Dwight,True
53,"Oh, man, am I a woman?",Dwight,True
54,Are you… interested in her guy friends?,Jim,True
55,Stop eating it! Do you wanna be happy? Look at you. You have a major self-destructive streak in you.,Pam,True
56,"Oh, already.",Michael,True
57,"Sure, what’s up?",Pam,True
58,"What are you up to, girl? Huh? Phyllis put you up to this? Stanley? Are they paying you?",Dwight,True
59,I don’t even know who you are anymore.,Jim,True
60,"No. No. No. No. No. No. Respectfully, Toby, no. No. This company does not waste time or resources, ever.",Michael,True
61,That’s it! That’s a picture! Yes! Jump in the air. We’re gonna jump in the air. Here we go.,Michael,True
62,Was it nice?,Michael,True
63,"I had to find a new dojo after sensei Ira and I parted ways. My new sensei, sensei Billy, thought I had more than enough training to take the test. Turns out, sensei Ira was a bit of a shyster. Sensei Billy says most students don’t spend $150,000 over 20 years to get their black belt.",Dwight,True
64,"I feel like he’s always making these decisions for the family, and then I’m left playing catch-up.",Pam,True
65,"Here, let me help you.",Dwight,True
66,That’s Stanley Hudson.,Pam,True
67,Oh boy…,Jim,True
