id,parent,reply,character
0,Any employee may dispose a food item…,"Stop. Dwight, stop.",Jim
1,This is Mr. Scott.,Guilty! Guilty as charged!,Michael
2,Yeah.,Not just because he said it?,Michael
3,"Oh really, Jim? What about Pam? And you did a heck of a lot more than kiss. Maybe this could be my Pam.","Okay. Well, all that is irrelevant.",Jim
4,They didn’t know?,I guess not.,Michael
5,"Okay, I do. There like mini briefcases, alright? Lots of guys have them.",Like those?,Dwight
6,Wait…,What have you done?,Pam
7,That’s… that’s the same guy. It’s the joke I made.,Different guy.,Dwight
8,Are you inviting me to the Finer Things Club?,...,Pam
9,No. No!,That’s… not okay.,Jim
10,Martinez.,"Right. See? I don’t even know, first-name basis!",Michael
11,…or an odd little boy with a cowboy obsession?,Hold on one second.,Jim
12,"Oh, hey, I invited my friend Julie.",Okay.,Jim
13,I got it!,Pam!,Dwight
14,Pam made me put a banana in my holster.,You shot a gun off –,Pam
15,Kick Wallace’s ass!,"Okay. I will… Dwight and Angela are having an affair, so…",Michael
16,Ohh! Good-bye.,Stop. Out with it.,Pam
17,What about if I tell you the things I don’t want?,"Okay get off, get off! Oh! Oh, God!",Michael
18,"Okay! If you’re not going to interview me, then I’ll do it.",Yes.,Jim
19,"Yes, what is this about?",What is this meeting about?,Michael
20,Is this because of the 60 Minutes segment about working conditions in our Peruvian paper mill?,"That was a hit job. If you read the Dunder Mifflin press release it clearly states that they had absolutely nothing to do with that particular cancer cluster. So if there is a lesson to be learned here and I’m not sure that there is, it is that in order to help our communities, we need to put other people’s needs ahead of our own.",Michael
21,I just prefer it without the name and I thought- I’ve got to start doing some managing at some point.,"I know, I know, I’m sorry, but if it’s not a big deal we should just-",Michael
22,"Hey, late guy.",Hey. Wow. Just stopping by. Got another party to go to. A wife and two kids at home party.,Jim
23,What port? The Jan port. The Holly Por…,Don’t even! Holly was clean! Okay? If anything I gave it to her.,Michael
24,"Look, I know I’ve tapped you so hard.","Yes, you have tapped this. Hard.",Michael
25,"Yeah. Money problems, is that what this is about? I mean, oh, dear, I don’t think we can help you out.","No, no. Jim had a great year, actually. I just wanted to get your opinion.",Pam
26,"Ow! Ow! Okay, that is three, and you didn’t hit anybody that hard.",They’re not abandoning the party.,Dwight
27,Building loyalty.,"Killing royalty. The truth be told, we should really disregard Anderson’s three pillars. He was later diagnosed with dementia. You know what is important? Is Dwight’s pillars, and there is only one: desire. Do we have a desire to dominate the retail space? Not just succeed in it, but to dominate, and looking around this room I’m not so sure that we do, but we can get there, and I can lead us there, and that is all that matters.",Dwight
28,"Wait, wait, wait.","Everyone, now calm down!",Michael
29,Maybe you could just take the rest of the day off… you know…,"Oh, would that make you feel better?",Pam
30,"Oh. Yeah well, I guess there’s been a couple late nights. Karen and I have been up talking.",You should get more sleep.,Pam
31,Hmm…,The one in the really great mesh black high-back swivel chair?,Pam
32,Yeah! Let’s do it!,Atherozar!,Dwight
33,"Well we should make a list. Lists are good. Lists are good. Lists are good. First on the list, let’s get you out of the car. Alright. Okay…","How come out of everyone in the office, I’m the only one that went with you? Is it because I’m that stupid? I mean, your own grandmother doesn’t even believe in you!",Pam
34,Me. All night. Dreaming about Angela’s smoking hot body.,You’re being gross.,Pam
35,"Are you all right, Michael?","Yeah, I am. I am.",Michael
36,"Excuse me, everyone, can I have the floor please? Um, this is insanely awkward. It’s kind of the elephant in the room, so I’ll just… No one has RSVP’ed to our wedding yet, and the deadline was yesterday.","Wait, you still don’t know…",Michael
37,Stanley got to go.,"Yeah, well, Stanley doesn’t help with anything. Come on. Shout ’em out, shout ’em out.",Michael
38,I am not lying.,Really?,Pam
39,Where are you going?,Nowhere.,Michael
40,"Yeah, not a lot of money in the arts, right?",That’s not really true. There’s a lot of things you can do with an art degree actually.,Jim
41,Does Mose have nightmares?,Oh yes. Ever since the storm.,Jim
42,No.,"She says “no” to everything. You know, she thinks my name is “No.” Cece, do you want some broccoli?",Pam
43,Fine.,"I knew you would, Nancy.",Dwight
44,D-Bone. There you are.,"Let me guess, somebody needs a brownie…? Lick the spoon?",Dwight
45,"Yeah. And I know… I know he was your boss, so I thought you should know.",Does his family know?,Michael
46,Oh my God!,"Pam, will you marry me?",Jim
47,I hate your roof!,Oh do not raise your voice to me!,Michael
48,"Uh, hi, Pam Halpert?",Yes?,Pam
49,"You know, Dwight, sometimes… I don’t know, I think you say things just to agree with me.",Would that be such a bad thing?,Dwight
50,Look I gave him a six foot extension cord so he can’t chase us.,That’s perfect.,Michael
51,Can’t be good.,Nope.,Michael
52,So are you going to be like totally awkward around me now?,"Oh yeah, yeah… hope that’s okay.",Jim
53,I don’t think an apology is enough. I really think the only way for me to learn my lesson is to take my suspension.,"And I got to take this bad attitude, and I got to go home, and I got to adjust it. And I hope the suspension does that.",Jim
54,"But they didn’t complete their task, Pam! If people can’t carry an egg in a spoon, blindfolded, then what does that tell you about how they will be able to manage a sales report, or conduct a business call?",It tells me nothing.,Pam
55,"Yeah, that was nuts.","He could have broken your nose or something. Crazy. It’s just so stupid. I mean, getting back with Roy and everything. I mean, what was I thinking, right?",Pam
56,"Oh, you don’t know her.",Who is it?,Pam
57,Right here.,MR. JAMES HALPERT!,Dwight
58,You’re broke?,"Um, that’s, how did you get that from what Oscar’s saying?",Michael
59,Was that your per diem?,"No, that was a different hundred dollar bill.",Michael
60,And… sometimes you just let it go to voicemail.,You’re costume is fantastic!,Pam
61,"Go, go, go, go!",...,Michael
62,Who is Mao?,Lifeline.,Michael
63,"Well, is that it? Or?","Yeah, just this whole Toby, camping thing, uh, seems a little lame.",Michael
64,"No no no, no names, no names, no rhyming, no soundalikes.","All right, Okay, okay, you’re getting inside my head. First name is blank and he goes on a cruise, he goes on a Caribbean CRUISE.",Michael
65,"All right, I’m being a jerk. You got me this job. I should be grateful. I am, I just… you know, I get finicky about my stuff. That’s all.",It’s all good. Are we all good?,Jim
66,Yes. It’s a new dentist. He’s far. I might be gone… three hours.,"Three hours, wow. Have fun.",Michael
67,Do you want to get robbed in a foreign country? I wash my hands of this.,Okay. Where is my translator?,Michael
68,"Oh, really? You certainly seemed jealous when I told you about my fake girlfriend. That’s what Jim and Dwight thought.","Okay, hey, hey, hey…",Dwight
69,Why didn’t you just say 49ers quarterback?,"All right, my my my my turn, my my my my turn, my my my my turn.",Michael
70,"Okay Pam, I have another little project for you.",Does it have to do with these shopping bags filled with hot dogs?,Pam
71,"As a manager of business, you have a lot of pride.",Mmhm.,Michael
72,"Saying, that would be better, or we would like that. That sort of thing.",Exactly. Yes.,Dwight
73,Yes sir. Remember that. I’ll be right outside if you need me,All right.,Michael
74,Ooooohhh no!,Oh yeah.,Jim
75,Shopaholic.,Sounds like it.,Pam
76,You had something important to tell me?,"Oh, you know, I did but now it seems infinitely insignificant.",Dwight
77,I’m installing File Share on all the computers.,"Yeah, well, bladdy-bluda-blah-blah. Techno-babble. Just do it, okay. We have company. Right?",Michael
78,"Um. Okay, um.",Um.,Dwight
79,Yeah.,For a CD mix tape…,Michael
80,Oh yeah.,Wonder what I would’ve been back home?,Michael
81,Hmm.,Come on. I’ll drive.,Dwight
82,"I don’t play the politics game anymore, Jim. Can I tell you something? I played it full on in New York. I played it high stakes. For keeps. Made it to the top. But look what it cost. Can I tell you what else I learned?","Wait, that’s pretty weird.",Jim
83,"Who, Steve?","Yeah, Steve, whatever his name is.",Dwight
84,Perfect.,"The ring, 10-carat diamond, pops out of her mouth, hits her shrimp cocktail, right onto her finger. Million-to-one shot. All of the Greek people in the restaurant start screaming “Opa!” Which means “congratulations,” so…",Michael
85,Just rock. Shh.,Boner Bomb starring Jason Statham. Or we go against type with an Eisenberg or a Michael Cera.,Michael
86,What else could you possibly be forgetting?,Uh–,Jim
87,Not anymore.,Oh…,Michael
88,"Dwight’s right. What you did was dangerous and inappropriate. I’m really surprised at you guys. Last time I was here, you were both best friends.","All this arguing reminds me of a very funny story. You see this on my desk? Know who gave me this? My girlfriend Tara, who lives in New York City.",Michael
89,We need more food. I’ll go get some subs and sodas.,All right. And cider.,Jim
90,A tow truck is going to charge you one hundred bucks to take you a mile. Let me take a look.,"No, no, really not necessary.",Michael
91,"Yes, Michael. My husband impregnated me.","Oh, great.",Michael
92,"Customers have to use the coupon code from the website. And as of now there is no differentiation between the letter O and the zero, but we are working on that. Stay tuned for that.",He needs me. Seat saved infinity.,Dwight
93,"Jazz is stupid!  I mean, just play the right notes!","I know. You’re gonna be okay, Monkey.",Dwight
94,Your love line- I’m just kidding. I can’t see anything.,"Well, look closer.",Pam
95,They’re not s’mores. They’re samosas.,Do you think they have any s’mores?,Michael
96,What else you got?,"Oh, and then this was Phyllis’s idea… So nasty Phyllis!",Pam
97,I know!,But I’m holding on because I keep waiting for Sandra Bullock to show up.,Pam
98,"Okay, fireable offenses include: workplace violence and sexual harassment.","That’s it, that’s it, perfect. We will get him to hit on somebody, and then we will catch him in the act.",Michael
99,Pam!,Oof!,Pam
100,You mean a moon bounce.,What do you think? You’ve got an hour.,Dwight
101,Listen. I’ve got a sixer. “Automatic for the People” on the jukebox. Let’s hit the park after sundown. Come on! Pick up some sausage if you want.,I think you’ll find what you’re looking for over there.,Dwight
102,Alright.,"Actually the place that she’s in is the freezer, because of the odor.",Dwight
103,Hit it. So where’s the groom?,He’s right there. There he is.,Michael
104,"Oh, Michael what do you think? Grandma?",That–,Michael
105,What are you going to do with your time off?,Travel. I’ve been looking forward to it. It’s gonna be… really nice. Gonna find myself.,Jim
106,"Uh hmm, he should be fine, but, uh, they brought him in for a CAT scan.",I can’t believe he’s getting a CAT scan.,Pam
107,Yup.,"All right, who’s ready for the next presentation?",Dwight
108,Essential.,This is stupid! Cut.,Dwight
109,Shotgun weddings.,That’s not what that is.,Jim
110,Do you drink this every day?,Every morning.,Michael
111,"Um, I don’t know, yeah, yeah, yeah it is.",Thank you Michael. I know your telling the truth.,Dwight
112,You don’t work with us.,That’s because Mark’s my roommate.,Jim
113,Con– you look like a nerd.,Con– no one gets as much as they did last year.,Jim
114,"I’m sorry, sir, but I’m not seeing you in here. When did you make your reservation?",I don’t have a reservation but I want a room in the Halpert-Beesly block of rooms.,Michael
115,Is that it?,"Yup, I guess so.",Jim
116,Mmm-hmmm.,What do we know about him? He’s an accountant.,Michael
117,Go back to the monkey!,Don’t do the squirrel. Throw your poop.,Michael
118,"No, No.",I’m good. I can make sure things are up to code.,Dwight
119,You’re a jackass.,Okay. You wanna do this the hard way. We’ll do this the hard way. You wrote down those fake diseases didn’t you?,Dwight
120,Wouldn’t we get fired for smashing all the computers?,"No. Okay, not all the computers, just our computers.",Michael
121,"Well see, um… in the gang world, we use something called Fluffy Fingers.",What is that?,Michael
122,We haven’t told anyone I’m pregnant.,"Well, with her being unmarried… knocked up by some guy, I mean the yakity-yaks in this office would have a field day.",Jim
123,"Actually, we’ve been dating for a couple months.","I love you guys, so much.",Michael
124,"Yes, you are. And you know what you’re going to have?",A baby.,Pam
125,We did our best.,"No you didn’t, Phyllis. You complained the whole time. You yelled at me. You tried to break into the machine. What?!",Dwight
126,Just the one.,"Just one joke. Ok. Well, if it’s just gonna be one, I will think of a different joke. Umm… let’s see… choo choo choo.",Michael
127,"Yeah, she does, doesn’t she?",No.,Jim
128,"Plus her dowry contains a walk-in freezer full of frozen, premium cattle sperm.",That’s a lot of pros.,Jim
129,Mm hmm.,Did you hear Pam is pregnant?,Michael
130,Where are we going?,We’re going to Chuck E. Cheese.,Jim
131,I could be the Indian Julia Roberts.,That’s not… she’s… okay. Yes.,Dwight
132,Okay.,He definitely stole my iPod.,Jim
133,"Oh my God, Dwight, put that down.",I’m thirsty.,Dwight
